dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
ocean_temp_cuszp_1e3,cuszp,read,142.9655,0.0000,82.9054,0.0000,46.8253,0.0000,0.0000,82.9054,0.0000,13.2348,0.092573
ocean_temp_cuszp_1e3,cuszp,write,163.8713,0.0000,42.9237,0.0288,116.7290,18.8324,0.0000,24.0913,18.8324,4.1899,0.025568
ocean_temp_cuszp_1e3,cuszp,read,145.3157,0.0000,82.2190,0.0000,46.6214,0.0000,0.0000,82.2190,0.0000,16.4753,0.113376
ocean_temp_cuszp_1e3,cuszp,write,146.2582,0.0000,25.1127,0.0129,117.7390,3.9355,0.0000,21.1772,3.9355,3.3936,0.023203
ocean_temp_cuszp_1e3,cuszp,read,164.3801,0.0000,77.7539,0.0000,74.5162,0.0000,0.0000,77.7539,0.0000,12.1099,0.073670
ocean_temp_cuszp_1e3,cuszp,write,182.6440,0.0000,36.4489,0.0269,142.8213,15.1972,0.0000,21.2517,15.1972,3.3469,0.018325
ocean_temp_cuszp_1e3,cuszp,read,188.6610,0.0000,79.1589,0.0000,97.6040,0.0000,0.0000,79.1589,0.0000,11.8981,0.063066
scale-T_cuszp_1e3,cuszp,write,186.3976,0.0000,33.7254,0.0239,147.6574,5.1794,0.0000,28.5460,5.1794,4.9908,0.026775
scale-T_cuszp_1e3,cuszp,read,387.1433,0.0000,319.9510,0.0000,27.0416,0.0000,0.0000,319.9510,0.0000,40.1507,0.103710
scale-T_cuszp_1e3,cuszp,write,278.0330,0.0000,82.0537,0.0371,191.8618,55.4445,0.0000,26.6092,55.4445,4.0804,0.014676
scale-T_cuszp_1e3,cuszp,read,441.0148,0.0000,308.0142,0.0000,25.6317,0.0000,0.0000,308.0142,0.0000,107.3688,0.243459
scale-T_cuszp_1e3,cuszp,write,195.4133,0.0000,33.1258,0.0219,157.5162,4.7929,0.0000,28.3329,4.7929,4.7495,0.024305
scale-T_cuszp_1e3,cuszp,read,375.7125,0.0000,309.6194,0.0000,26.2038,0.0000,0.0000,309.6194,0.0000,39.8894,0.106170
scale-T_cuszp_1e3,cuszp,write,211.3348,0.0000,80.2069,0.0376,127.0145,52.9527,0.0000,27.2542,52.9527,4.0757,0.019286
scale-T_cuszp_1e3,cuszp,read,451.1614,0.0000,318.8203,0.0000,26.5234,0.0000,0.0000,318.8203,0.0000,105.8177,0.234545
scale-T_cuszp_1e3,cuszp,write,181.1109,0.0000,33.1445,0.0216,143.1921,4.8107,0.0000,28.3338,4.8107,4.7527,0.026242
scale-T_cuszp_1e3,cuszp,read,390.3482,0.0000,324.4728,0.0000,26.7834,0.0000,0.0000,324.4728,0.0000,39.0920,0.100146
scale-T_cuszp_1e3,cuszp,write,221.7978,0.0000,79.8006,0.0367,137.8865,52.9161,0.0000,26.8845,52.9161,4.0741,0.018368
